Title,Release Date,Description,Release Year
The Transformers:Call of the Future,2003-10-30,a Japanese game based on the Transformers.,2003
Sly 2: Band of Thieves,2004-09-14,Sly 2: Band of Thieves follows the Cooper Gang as they attempt to recover the dismantled parts of Clockwerk from an international criminal and spice dealing organization known as the Klaww Gang.,2004
Shadow Man: 2econd Coming,2002-03-02,PlayStation 2 exclusive follow-up to the 1999 game based on the comic books of the same name.,2002
Piglet's Big Game,2003-03-19,"A pair of games based on the Disney Winnie the Pooh film 'Piglet's Big Movie', putting the timid side-character Piglet front-and-center.",2003
Dragon Quest VIII: Journey of the Cursed King,2004-11-27,The eighth main entry in the Dragon Quest franchise. It was the first game in the series to utilize a full 3D environment and featured a cel-shaded graphics style which would become standard in the main series until the release of Dragon Quest X.,2004
Garfield,2004-11-19,"Based on the syndicated comic strip of the same name, Garfield follows the curmudgeonly cat as he tries to clean up the house before his owner returns home.",2004
Spirits and Spells,2002-11-29,Action platformer,2002
Triggerheart Exelica,2007-02-22,"Take control of cute ""Triggerheart"" gynoids as they defend Earth from the alien race Ver'mith in Warashi's final shoot-'em-up.",2007
Contra,1987-02-20,"A Konami run-and-gun famous for its fast-paced, gritty, old-school action.",1987
Final Fantasy XI Online,2002-05-16,Players from across the globe enter the world of Vana'diel for a Final Fantasy adventure in the series' first foray into the MMORPG genre.,2002
Beyond Good & Evil,2003-11-11,"The story of a young, curious, and green-loving photojournalist named Jade, out to unravel an alien conspiracy on her home planet of Hillys.",2003
Jak and Daxter: The Precursor Legacy,2001-12-04,"Take on the role of Jak, and embark on a long journey to change Daxter back from his ottsel form.",2001
Cybernator,1992-12-18,Side-scrolling mech action in space and on Earth. The game is known as Assault Suits Valken in Japan and is the second game in Masaya's Assault Suits series of mech run-and-gun shooters.,1992
Maze Action,2003-04-24,"In this game you face off foes in a maze, a high on action maze.",2003
Aqua Kids,2004-08-12,,2004
Alien Hominid,2004-11-18,"A yellow, bug-like alien has crash-landed, and he must blast a lot of agents to get his confiscated ship back in this comedic side-scrolling run-'n'-gun platformer from some of Newgrounds's finest.",2004
Astro Boy,2004-03-18,"An action-adventure game by Sonic Team, based on the 2003-2004 revival of the classic sci-fi superhero anime Astro Boy.",2004
Castle Shikigami 2,2003-10-24,"Alfa System's paranormal shoot-'em-up returns with two-player co-operative play, as well as new characters and play styles. Its often known for its humorously poor localization.",2003
Puchi Copter 2,2005-07-14,A sequel to Aqua System's R/C helicopter flying game.,2005
RC Helicopter Indoor Adventure,2001-05-14,Take control of one of several toy R/C helicopters and fly around various indoor home environments in this flight simulation game from Japanese developer Aqua System.,2001
Billy the Wizard: Rocket Broomstick Racing,2006-01-27,"A spoof of the Harry Potter series, with several mini-games involving student wizards riding their broomsticks around their wizarding school.",2006
Kya: Dark Lineage,2003-11-14,"After falling through a portal she discovered in her house, Kya is transported into a strange world. There, she encounters the Nativs, a tribe that is fighting against the evil Brazul and his minions. Can she help the Nativs in their fight and return safe to her world?",2003
Final Fantasy X,2001-07-19,"The first Final Fantasy game for the PlayStation 2 brought cinematic quality to the series with voice acting and fully 3D environments. The story follows Tidus, a young man transported one thousand years into the future to find a world quite unlike his own.",2001
M&M's Adventure,2008-12-03,"Save the M&M's candy factory yet again in this 3D platformer starring the main trio of M&M's ""spokescandies"".",2008
Fuuraiki,2001-01-18,"A romantic adventure game by FOG about a photographer traveling to Hokkaido Japan to take pictures for a writing assignment. During his journey he will meet various people, travel to places on his motorcycle as well as interact with several different heroines.",2001
Ever17: The Out of Infinity,2002-08-29,A visual novel game released in 2002 that focuses on a group of people who are trapped in an undersea theme park. Mysterious happenings are abound and time is running out so the group must band together to escape alive.,2002
K-1 World Grand Prix: The Beast Attack!,2003-07-31,"K-1 World Grand Prix: The Beast Attack! is a Kickboxing game, published by Konami, which was released in Japan in 2003.",2003
Neopets: The Darkest Faerie,2005-11-16,The Darkest Faerie has returned to take over Meridell and Brightvale in this RPG/Platformer Neopets Game,2005
Kamaitachi no Yoru Triple: Mikazukishima Jiken no Shinsou,2006-07-27,The third entry in the Kamaitachi no Yoru series of sound novels by Chunsoft.,2006
Disney's Extreme Skate Adventure,2003-09-03,"A kids-focused spin-off of the Tony Hawk's Pro Skater series, featuring characters and locales from three Disney films (Toy Story, The Lion King, and Tarzan).",2003
